stat_usual_9,stat_usual_14,stat_extra_9,stat_extra_14,true_usual_9,true_usual_14,true_extra_9,true_extra_14
0.549406329,0.524050377,0.8496182324,0.9405997687,,,,
0.5901501576,0.5878955032,0.8864317069,0.9995234357,,,,
0.5264902807,0.5160100011,1,0.9703282296,,,,
0.5127609722,0.501470537,0.9611517396,0.9999301609,,,,
0.5187598823,0.5032070157,0.7980196926,0.9999994083,,,,
0.5401963515,0.5135583742,0.9999999525,0.9998423824,,,,
0.578942801,0.5206640828,0.9999999937,0.9999986747,,,,
0.5153052207,0.6258845803,0.9984707148,0.9999999616,,,,
0.5854439493,0.5429990116,0.9747082673,0.9996138541,,,,
0.5328704856,0.5006726845,0.6232985225,0.9999993485,,,,
0.5491578922,0.5659409706,,,,,,
0.5379008034,0.5660131366,,,,,,
0.5057314466,0.5044667555,,,,,,
0.6668826384,0.5966023059,,,,,,
0.5083607033,0.5260249998,,,,,,
0.5243117097,0.572506306,,,,,,
0.5010571358,0.5619277641,,,,,,
0.607888075,0.5037984909,,,,,,
0.614998014,0.5421128247,,,,,,
0.6435235923,0.5903932056,,,,,,
0.6421646544,0.5616971806,,,,,,
0.5294049916,0.5116289574,,,,,,
0.5141120865,0.6055945641,,,,,,
0.566884368,0.6150435281,,,,,,
0.6509716429,0.5145330456,,,,,,
0.5136356487,0.5456466101,,,,,,
0.5009856444,0.5131818781,,,,,,
0.6100948078,0.5338512431,,,,,,
0.5419585562,0.5968209821,,,,,,
0.5346696258,0.502828857,,,,,,
0.6089945149,0.5639909894,,,,,,
0.6532004045,0.6834369671,,,,,,
0.5723190491,0.5897427812,,,,,,
0.5529197991,0.5222138757,,,,,,
0.5321548252,0.5035316847,,,,,,
0.5048476702,0.760456299,,,,,,
0.5034866377,0.634884362,,,,,,
0.5053056665,0.608360634,,,,,,
0.5696632488,0.6044497468,,,,,,
0.591432195,0.5063927237,,,,,,
0.5028052396,0.5633423494,,,,,,
0.519228238,0.5772977432,,,,,,
0.5562583913,0.5010256762,,,,,,
0.5256102436,0.5407098573,,,,,,
0.5045531486,0.5995869527,,,,,,
0.5010465235,0.6426531241,,,,,,
0.5104592782,0.6173798504,,,,,,
0.5196805681,0.5224223242,,,,,,
0.6484299056,0.5504734276,,,,,,
0.5599930548,0.5275999581,,,,,,
0.5126494255,0.5060704002,,,,,,
0.517534999,0.5413050387,,,,,,
0.600265439,0.503134273,,,,,,
0.5095640916,0.6525619245,,,,,,
0.5143857955,0.5646527682,,,,,,
0.6057969467,0.5577920022,,,,,,
0.5086418827,0.6665433868,,,,,,
0.5143232372,0.5573760511,,,,,,
0.5543775762,0.5162643739,,,,,,
0.5341618435,0.5527459255,,,,,,
0.5284168353,0.5938958157,,,,,,
0.6896580507,0.5820967306,,,,,,
0.5030706748,0.5138822936,,,,,,
0.6221526986,0.5003673538,,,,,,
0.5492614525,0.5244672026,,,,,,
0.5013945316,0.549156373,,,,,,
0.5225609838,0.5371580059,,,,,,
0.5556309952,0.5342260761,,,,,,
0.5995104676,0.513950943,,,,,,
0.5887412398,0.5152132926,,,,,,
0.5313766481,0.606179794,,,,,,
0.6655534722,0.5485176882,,,,,,
0.524787931,0.6288758994,,,,,,
0.5810677039,0.5404316185,,,,,,
0.5401835079,0.5355307765,,,,,,
0.5545874202,0.5794636996,,,,,,
0.5786751873,0.5313245891,,,,,,
0.5411057236,0.503293521,,,,,,
0.5491786653,0.5911521211,,,,,,
0.500818155,0.5991623833,,,,,,
0.5000731274,0.6617396187,,,,,,
0.5580265609,0.6332236171,,,,,,
0.5169601222,0.5220434468,,,,,,
0.5704168676,0.5345491178,,,,,,
0.6932140768,0.6218391305,,,,,,
0.532805687,0.5073380926,,,,,,
0.5709975863,0.5760097011,,,,,,
0.5556727341,0.5355949244,,,,,,
0.5094611798,0.5794628296,,,,,,
0.5038784532,0.5806798426,,,,,,
0.5029455114,0.5020566839,,,,,,
0.5139869181,0.5528814909,,,,,,
0.5688846006,0.5250421075,,,,,,
0.5897682034,0.628090017,,,,,,
0.5579988191,0.6180474094,,,,,,
0.5504104325,0.5976305067,,,,,,
0.5508149081,0.5661052001,,,,,,
0.5151769888,0.5295322827,,,,,,
0.5737710166,0.5647888985,,,,,,
0.5283459556,0.5936503475,,,,,,
0.5130937153,0.5186507924,,,,,,
0.6565724023,0.5415292644,,,,,,
0.5008348812,0.6359275466,,,,,,
0.6452946271,0.540740491,,,,,,
0.5096651331,0.5760140066,,,,,,
0.5230611273,0.5409161822,,,,,,
0.6567577932,0.5351719168,,,,,,
0.5187653027,0.6237666489,,,,,,
0.5022815518,0.5206080122,,,,,,
0.6477262219,0.5069509852,,,,,,
0.5454464594,0.7559427281,,,,,,
0.5001629373,0.5470064521,,,,,,
0.5764152386,0.5219328195,,,,,,
0.51183399,0.5355842089,,,,,,
0.514431584,0.6169393462,,,,,,
0.5129487815,0.5100394669,,,,,,
0.5072406605,0.5530215407,,,,,,
0.6254694516,0.5659627913,,,,,,
0.6897758114,0.5131256779,,,,,,
0.5207541506,0.595667067,,,,,,
0.5325295127,0.515756215,,,,,,
0.508356587,0.6478802558,,,,,,
0.5066330059,0.6081836603,,,,,,
0.5084738004,0.5334309065,,,,,,
0.5641233817,0.5127435946,,,,,,
0.5237899165,0.5039254134,,,,,,
0.5224108506,0.5062041392,,,,,,
0.5401593055,0.5213623162,,,,,,
0.5146877767,0.6291538762,,,,,,
0.5509625915,0.5704199435,,,,,,
0.5704928178,0.7231193284,,,,,,
0.5009563674,0.5075428444,,,,,,
0.5180480667,0.5095834723,,,,,,
0.5073212725,0.5481768881,,,,,,
0.7005092065,0.5572509935,,,,,,
0.5060339012,0.6787735622,,,,,,
0.5047987663,0.5707031819,,,,,,
0.6155825023,0.5328715428,,,,,,
0.5227867059,0.5020778532,,,,,,
0.527071009,0.551472685,,,,,,
0.516389054,0.5504310058,,,,,,
0.507036525,0.6283680307,,,,,,
0.6823618912,0.5083020622,,,,,,
0.5029069126,0.5126218865,,,,,,
0.5131684519,0.5256307907,,,,,,
0.5218977436,0.5042455962,,,,,,
0.5477869258,0.5875320939,,,,,,
0.5316862682,0.5045361101,,,,,,
0.6487342741,0.5681820384,,,,,,
0.5017010908,0.5928312984,,,,,,
0.6385443569,0.7507970293,,,,,,
0.52692243,0.5089896532,,,,,,
0.6235214565,0.5118586348,,,,,,
0.553069906,0.6665890536,,,,,,
0.6919352279,0.5445031856,,,,,,
0.5719994171,0.576919502,,,,,,
0.5641127374,0.7058963052,,,,,,
0.5241555443,0.5969418488,,,,,,
0.5728921201,0.5177971106,,,,,,
0.515794111,0.6027234464,,,,,,
0.5386018432,0.5255340466,,,,,,
0.5055804453,0.5619660693,,,,,,
0.5558580193,0.5426264338,,,,,,
0.5179097567,0.5584186162,,,,,,
0.521929043,0.657992465,,,,,,
0.5448501408,0.5105286403,,,,,,
0.6274587658,0.6871594355,,,,,,
0.6315729595,0.5026697716,,,,,,
0.5683312025,0.5537574177,,,,,,
0.5022740783,0.5437032457,,,,,,
0.5473381028,0.5048025041,,,,,,
0.6085950103,0.5528330186,,,,,,
0.5428192794,0.5632651003,,,,,,
0.564866906,0.5175523621,,,,,,
0.5186884504,0.5192234848,,,,,,
0.6024448151,0.510336218,,,,,,
0.5957375786,0.5962442396,,,,,,
0.5083606816,0.6470781711,,,,,,
0.546788256,0.5322406235,,,,,,
0.6896330257,0.5881590627,,,,,,
0.5080411359,0.5273279672,,,,,,
0.5081875247,0.5049758006,,,,,,
0.5745570513,0.516265525,,,,,,
0.6192383075,0.5094367056,,,,,,
0.5274046249,0.6968619798,,,,,,
0.6532279868,0.5519078424,,,,,,
0.5399387088,0.5110234282,,,,,,
0.5347847141,0.6960834604,,,,,,
0.5001862103,0.5174770861,,,,,,
0.5698271764,0.5636064092,,,,,,
0.6351443146,0.5927847654,,,,,,
0.5401358122,0.5205946778,,,,,,
0.5164379055,0.5242816887,,,,,,
0.6562800358,0.6238105593,,,,,,
0.5068452467,0.6223992573,,,,,,
0.5473942384,0.5807336654,,,,,,
0.5413513444,0.5527930266,,,,,,
0.5445816552,0.5367526033,,,,,,
0.5337237002,0.609882283,,,,,,
0.5297178814,0.6066045998,,,,,,
0.5085222196,0.5829035708,,,,,,
0.5003441622,0.5271667735,,,,,,
0.5195786355,0.5054974021,,,,,,
0.5488986516,0.5248428178,,,,,,
0.5121178711,0.5359486141,,,,,,
0.5122193601,0.5242343147,,,,,,
0.6407962039,0.5131000036,,,,,,
0.5048407286,0.5060068058,,,,,,
0.5482800289,0.5575723687,,,,,,
0.71693105,0.5459123402,,,,,,
0.5860506661,0.7303746652,,,,,,
0.5852592531,0.571617631,,,,,,
0.6017807174,0.575594711,,,,,,
0.6598023869,0.6089302525,,,,,,
0.6561651473,0.5157959097,,,,,,
0.6252219157,0.5563929375,,,,,,
0.5891335775,0.5198002966,,,,,,
0.5731316016,0.5055242694,,,,,,
0.5053870116,0.6030289001,,,,,,
0.5906966724,0.6625403326,,,,,,
0.5021053169,0.5293821245,,,,,,
0.5103062358,0.5686202924,,,,,,
0.5003130052,0.7060608929,,,,,,
0.5090340157,0.5008323433,,,,,,
0.6211128268,0.5042338868,,,,,,
0.5200551545,0.6631596042,,,,,,
0.5016870919,0.6242447147,,,,,,
0.5478472881,0.5558624458,,,,,,
0.5008371395,0.5001687633,,,,,,
0.540697165,0.5240730245,,,,,,
0.5130024529,0.609529454,,,,,,
0.5762772834,0.6280089967,,,,,,
0.5534181915,0.5222340296,,,,,,
0.8144011488,0.5214332994,,,,,,
0.5602836425,0.5541040618,,,,,,
0.5001534973,0.5020647254,,,,,,
0.5012277188,0.5169605543,,,,,,
0.6047939889,0.5970990818,,,,,,
0.5543769249,0.6618542909,,,,,,
0.5507298405,0.5401571351,,,,,,
0.5096602282,0.5106623887,,,,,,
0.5698442522,0.6775872422,,,,,,
0.5023466457,0.6820501697,,,,,,
0.6246500646,0.5006570038,,,,,,
0.5485856477,0.5929830909,,,,,,
0.631737089,0.5318718354,,,,,,
0.5971750381,0.6252933174,,,,,,
0.539045785,0.5004848287,,,,,,
0.5217611197,0.5363919732,,,,,,
0.5206982103,0.5031928464,,,,,,
0.5494505096,0.6542005971,,,,,,
0.6195904709,0.635054447,,,,,,
0.610691838,0.5683033746,,,,,,
0.5044333551,0.5156403457,,,,,,
0.5008044289,0.5679202393,,,,,,
0.5514268236,0.5278142923,,,,,,
0.5922208454,0.544519004,,,,,,
0.516766864,0.5634267627,,,,,,
0.5676554735,0.5528252427,,,,,,
0.5078183282,0.5686477364,,,,,,
0.5563539506,0.6053968206,,,,,,
0.5757879285,0.5979778315,,,,,,
0.5110607944,0.562389867,,,,,,
0.5383445809,0.5115407838,,,,,,
0.5138146268,0.5387616507,,,,,,
0.5287591366,0.5294254997,,,,,,
0.5347392657,0.5094808288,,,,,,
0.51064727,0.6688332966,,,,,,
0.6403869806,0.5306236647,,,,,,
0.5817448335,0.5718054214,,,,,,
0.644203811,0.5289470238,,,,,,
0.5352094165,0.5195825266,,,,,,
0.538287238,0.5989202572,,,,,,
0.5278915961,0.5048880287,,,,,,
0.5103422444,0.5296142617,,,,,,
0.5288538299,0.5936697633,,,,,,
0.573088183,0.6464858597,,,,,,
0.5048825364,0.5045796809,,,,,,
0.5614249865,0.594829873,,,,,,
0.5097325144,0.6100234812,,,,,,
0.5212732336,0.5691379658,,,,,,
0.6088017447,0.5013958068,,,,,,
0.6031183114,0.5160505802,,,,,,
0.5531865579,0.610521595,,,,,,
0.5218925197,0.5440960528,,,,,,
0.5656931444,0.5937739615,,,,,,
0.5707512266,0.5865948255,,,,,,
0.5034225546,0.6046191392,,,,,,
0.6576966039,0.5972943048,,,,,,
0.5177604479,0.6487791184,,,,,,
0.5018958809,0.517159661,,,,,,
0.545326271,0.5398376319,,,,,,
0.595897644,0.7241773814,,,,,,
0.5139660657,0.5403386548,,,,,,
0.5224782199,0.57792719,,,,,,
0.5910939917,0.5006115941,,,,,,
0.5920606029,0.5099447858,,,,,,
0.5052121145,0.5189082698,,,,,,
0.5408418328,0.5007977961,,,,,,
0.5157841236,0.6865590778,,,,,,
0.5322712474,0.5059732174,,,,,,
0.5607514991,0.555072202,,,,,,
0.5496807999,0.6815813277,,,,,,
0.5004083004,0.5641123011,,,,,,
0.5580673225,0.532193011,,,,,,
0.5000750308,0.5431881618,,,,,,
0.6162566301,0.5144019437,,,,,,
0.5646869408,0.520697697,,,,,,
0.5192543163,0.6203492909,,,,,,
0.5306682787,0.6212181353,,,,,,
0.5367934932,0.6919534571,,,,,,
0.5047610613,0.5812163853,,,,,,
0.5381368238,0.6113772999,,,,,,
0.5056184365,0.5304493123,,,,,,
0.5042851373,0.5249539225,,,,,,
0.516038596,0.5778687163,,,,,,
0.6323300352,0.6225068686,,,,,,
0.5110805214,0.5792013266,,,,,,
0.5047750413,0.5106853796,,,,,,
0.5267689262,0.5302028438,,,,,,
0.5255828057,0.5181608614,,,,,,
0.54660645,0.5549985968,,,,,,
0.51263884,0.5111733415,,,,,,
0.5172783053,0.5446874766,,,,,,
0.6178138784,0.6057842331,,,,,,
0.633282441,0.6643700696,,,,,,
0.5026897577,0.5091854437,,,,,,
0.5445323968,0.521402739,,,,,,
0.6062942469,0.5289868037,,,,,,
0.5712451696,0.5131509053,,,,,,
0.6827157349,0.5087446495,,,,,,
0.5601480023,0.5063941576,,,,,,
0.5887641424,0.6249180235,,,,,,
0.5700833244,0.5004381764,,,,,,
0.5017901602,0.543229474,,,,,,
0.5506257777,0.5131773615,,,,,,
0.5214897768,0.512091914,,,,,,
0.5567260457,0.5905000151,,,,,,
0.5739623832,0.5033268028,,,,,,
0.5017074179,0.5916951691,,,,,,
0.5109438718,0.542651215,,,,,,
0.5517487996,0.7274770783,,,,,,
0.6218063165,0.5242216752,,,,,,
0.509712215,0.5250152139,,,,,,
0.5630974067,0.508029389,,,,,,
0.5060265617,0.5136612131,,,,,,
0.521340803,0.5261117891,,,,,,
0.5700214208,0.5599287636,,,,,,
0.5405473054,0.5839885756,,,,,,
0.6946224442,0.551488237,,,,,,
0.5328648641,0.8363154346,,,,,,
0.6414389616,0.5021310124,,,,,,
0.5471847211,0.5786710793,,,,,,
0.5253252267,0.5138854945,,,,,,
0.5639830715,0.63484306,,,,,,
0.5787546774,0.5402010079,,,,,,
0.5514089706,0.5286460836,,,,,,
0.5084313463,0.5197750808,,,,,,
0.5143119794,0.5399566665,,,,,,
0.6770977362,0.5077524435,,,,,,
0.5384976569,0.5009498067,,,,,,
0.5625089365,0.5138126425,,,,,,
0.6230563842,0.5045670503,,,,,,
0.5699996167,0.5646887691,,,,,,
0.5363170389,0.5976243556,,,,,,
0.5187809163,0.532908174,,,,,,
0.5220288893,0.7131398515,,,,,,
0.5071472326,0.5870428224,,,,,,
0.5232148486,0.51097143,,,,,,
0.5565796501,0.5569661084,,,,,,
0.5043938389,0.5245113554,,,,,,
0.5131971823,0.5275761476,,,,,,
0.5138587891,0.5163085153,,,,,,
0.5887930556,0.5537983853,,,,,,
0.518131756,0.7107426154,,,,,,
0.5085620052,0.5026619138,,,,,,
0.5035877618,0.5772145804,,,,,,
0.6111602203,0.5055576952,,,,,,
0.5893780402,0.5981916949,,,,,,
0.5204295965,0.5031261907,,,,,,
0.5685334447,0.5527066672,,,,,,
0.6559811399,0.5025745001,,,,,,
0.5310105173,0.6405648131,,,,,,
0.5456768494,0.5100467918,,,,,,
0.6944534864,0.5424944247,,,,,,
0.5083426778,0.564866049,,,,,,
0.5070595959,0.6027159266,,,,,,
0.5322072724,0.5858380638,,,,,,
0.5115266081,0.5072765989,,,,,,
0.6234609649,0.7365146115,,,,,,
0.5953199107,0.6127048706,,,,,,
0.5266460087,0.5118090439,,,,,,
0.5924119355,0.5664316823,,,,,,
0.542936647,0.5733301495,,,,,,
0.6299175995,0.5607437082,,,,,,
0.5822136388,0.512866927,,,,,,
0.5693151826,0.5234023609,,,,,,
0.6447392502,0.5152823399,,,,,,
0.5089964479,0.5339486304,,,,,,
0.6153526818,0.5034898344,,,,,,
0.5309045225,0.6170528358,,,,,,
0.6087850157,0.5770763581,,,,,,
0.5259974611,0.5101450234,,,,,,
0.5040584637,0.5065050522,,,,,,
0.5103173257,0.501869303,,,,,,
0.52563652,0.5569574295,,,,,,
0.5472129377,0.6286095513,,,,,,
0.6774229594,0.6285765215,,,,,,
0.5076877235,0.5694204124,,,,,,
0.6428188262,0.5918108477,,,,,,
0.513653015,0.5713081188,,,,,,
0.503620218,0.6182120108,,,,,,
0.6583163184,0.523613704,,,,,,
0.5122297972,0.5030334382,,,,,,
0.5555933565,0.5114150952,,,,,,
0.5218119367,0.6132461076,,,,,,
0.5232336465,0.5241032221,,,,,,
0.504474985,0.5184123716,,,,,,
0.5139999052,0.5205677449,,,,,,
0.6040601467,0.5112421915,,,,,,
0.5432685484,0.5259742432,,,,,,
0.6918956727,0.5169777445,,,,,,
0.5240386124,0.554943554,,,,,,
0.5814853053,0.5824413014,,,,,,
0.5047830602,0.5883164237,,,,,,
0.5277171469,0.5487837607,,,,,,
0.5546337238,0.5142270598,,,,,,
0.5464999646,0.5501032837,,,,,,
0.5190008505,0.5604270471,,,,,,
0.52466361,0.5405581133,,,,,,
0.531941412,0.5334340393,,,,,,
0.528477626,0.5258563418,,,,,,
0.5053487554,0.6152068924,,,,,,
0.611188868,0.5724708337,,,,,,
0.5444716154,0.5054268824,,,,,,
0.5384423827,0.6251694388,,,,,,
0.5920958533,0.7904923618,,,,,,
0.5879805869,0.5900643777,,,,,,
0.5002289402,0.5141808444,,,,,,
0.5090451615,0.5403098956,,,,,,
